id,nama_file,ukuran_bytes,tanggal_unggah,sumber,konten
BCH-0000846,laporan_pemasaran_202405_2616.doc,619235,2024-01-16,server-arsip-makassar,laporan_pemasaran_202405_2616|619235|rekap pending final
BCH-0004280,invoice_keuangan_202405_3526.json,23610710,2024-03-28,server-arsip-medan,invoice_keuangan_202405_3526|23610710|rekap final approved
BCH-0002176,log_riset_202512_5042.doc,3062229,2024-04-22,portal-upload-mobile,log_riset_202512_5042|3062229|rekap data total
BCH-0002796,gambar_manajemen_202501_5489.png,108000,2024-11-20,nas-lokal-04,gambar_manajemen_202501_5489|108000|approved pending rekap
BCH-0002666,gambar_keuangan_202508_7116.xls,4868449,2024-09-20,nas-lokal-04,gambar_keuangan_202508_7116|4868449|data revisi rekap
BCH-0003114,log_keuangan_202402_7233.xml,2576234,2024-07-19,server-arsip-medan,log_keuangan_202402_7233|2576234|final rekap revisi
BCH-0001946,backup_logistik_202507_0107.csv,992634,2024-02-16,nas-lokal-04,backup_logistik_202507_0107|992634|periode total pending
BCH-0004478,gambar_logistik_202501_4398.xml,354387,2024-07-21,server-arsip-semarang,gambar_logistik_202501_4398|354387|rekap pending revisi
BCH-0004235,dataset_audit_202501_7615.txt,359861,2024-12-19,portal-upload-mobile,dataset_audit_202501_7615|359861|rekap arsip revisi
BCH-0001253,presentasi_sdm_202405_7245.pdf,1906881,2024-04-29,server-arsip-makassar,presentasi_sdm_202405_7245|1906881|final revisi total
BCH-0003065,memo_audit_202503_1963.jpg,442971224,2024-01-04,nas-lokal-04,memo_audit_202503_1963|442971224|pending data total
BCH-0001626,kontrak_manajemen_202502_5344.rar,4568831,2024-08-10,server-arsip-makassar,kontrak_manajemen_202502_5344|4568831|draft periode rekap
BCH-0004076,laporan_audit_202406_9382.pdf,136955,2024-02-01,server-arsip-makassar,laporan_audit_202406_9382|136955|arsip approved pending
BCH-0004379,log_operasional_202404_8418.xlsx,271924,2024-08-08,nas-lokal-04,log_operasional_202404_8418|271924|arsip revisi pending
BCH-0002644,dataset_riset_202505_3017.pdf,6348464,2024-07-15,portal-upload-mobile,dataset_riset_202505_3017|6348464|periode draft data
BCH-0001206,memo_teknologi_202412_5117.xml,197600365,2024-02-12,server-arsip-medan,memo_teknologi_202412_5117|197600365|final draft periode
BCH-0003466,surat_manajemen_202405_4253.rar,55130,2024-12-21,nas-lokal-03,surat_manajemen_202405_4253|55130|approved draft pending
BCH-0001519,invoice_hukum_202411_3544.txt,45762121,2024-02-23,cloud-storage-azure,invoice_hukum_202411_3544|45762121|rekap arsip approved
BCH-0001301,backup_manajemen_202508_6851.zip,31757,2024-12-22,nas-lokal-04,backup_manajemen_202508_6851|31757|pending draft final
DUP-0000072,presentasi_keuangan_202210_4350.docx,22529856,2022-03-20,server-arsip-bandung,presentasi|keuangan|22529856|approved draft data file total
BCH-0003202,invoice_logistik_202403_6076.csv,1572665,2024-05-30,portal-upload-mobile,invoice_logistik_202403_6076|1572665|revisi approved periode
BCH-0003027,surat_audit_202505_0943.rar,1959245,2024-10-25,nas-lokal-04,surat_audit_202505_0943|1959245|data final draft
BCH-0003531,kontrak_hukum_202503_7051.doc,95718,2024-06-26,portal-upload-mobile,kontrak_hukum_202503_7051|95718|rekap draft periode
BCH-0003591,laporan_keuangan_202511_8573.jpeg,2068462,2024-04-23,server-arsip-medan,laporan_keuangan_202511_8573|2068462|approved revisi total
BCH-0002734,backup_operasional_202512_4082.doc,26441632,2024-06-08,nas-lokal-03,backup_operasional_202512_4082|26441632|rekap approved pending
BCH-0004224,gambar_manajemen_202507_3539.xlsx,218018,2024-05-19,cloud-storage-azure,gambar_manajemen_202507_3539|218018|pending draft approved
BCH-0001730,log_audit_202407_6702.zip,4043997,2024-05-11,server-arsip-medan,log_audit_202407_6702|4043997|rekap data draft
BCH-0003018,gambar_keuangan_202502_2260.pdf,2675209,2024-04-08,nas-lokal-03,gambar_keuangan_202502_2260|2675209|final approved draft
DUP-0000043,dataset_hukum_202301_4658.txt,11328717,2022-09-07,nas-lokal-02,dataset|hukum|11328717|dokumen total draft periode
BCH-0001056,laporan_hukum_202501_9873.xls,993491,2024-05-05,cloud-storage-azure,laporan_hukum_202501_9873|993491|periode pending total
BCH-0004033,laporan_riset_202502_0024.xlsx,1792217,2024-09-13,server-arsip-semarang,laporan_riset_202502_0024|1792217|total revisi approved
BCH-0002127,presentasi_hukum_202501_9774.rar,264737,2024-08-15,ftp-cabang,presentasi_hukum_202501_9774|264737|periode pending data
BCH-0004124,memo_logistik_202510_8133.json,2053117,2024-03-26,cloud-storage-azure,memo_logistik_202510_8133|2053117|data arsip rekap
BCH-0000811,gambar_keuangan_202406_7214.xls,419422,2024-06-05,nas-lokal-04,gambar_keuangan_202406_7214|419422|periode data revisi
BCH-0000465,laporan_operasional_202411_5463.json,3049885,2024-11-07,nas-lokal-03,laporan_operasional_202411_5463|3049885|revisi total final
BCH-0001640,laporan_hukum_202510_5536.docx,470921,2024-05-10,server-arsip-makassar,laporan_hukum_202510_5536|470921|draft rekap revisi
BCH-0000089,gambar_manajemen_202404_0625.jpg,41232301,2024-09-01,portal-upload-mobile,gambar_manajemen_202404_0625|41232301|rekap data approved
BCH-0000990,presentasi_manajemen_202501_5269.zip,1853042,2024-09-23,cloud-storage-azure,presentasi_manajemen_202501_5269|1853042|periode data rekap
BCH-0004423,memo_sdm_202512_8600.jpeg,4372932,2024-04-11,portal-upload-mobile,memo_sdm_202512_8600|4372932|rekap data approved
BCH-0002785,presentasi_audit_202505_6762.jpg,329356,2024-11-17,server-arsip-medan,presentasi_audit_202505_6762|329356|final data approved
BCH-0001051,memo_logistik_202408_4556.rar,2975797,2024-08-31,nas-lokal-03,memo_logistik_202408_4556|2975797|total data approved
BCH-0002169,presentasi_riset_202506_3172.pdf,3761421,2024-10-28,server-arsip-semarang,presentasi_riset_202506_3172|3761421|total approved pending
BCH-0003243,memo_manajemen_202402_8681.xlsx,36879942,2024-12-18,server-arsip-makassar,memo_manajemen_202402_8681|36879942|total periode arsip
BCH-0002821,gambar_sdm_202407_5023.csv,1208878,2024-04-10,cloud-storage-azure,gambar_sdm_202407_5023|1208878|periode rekap data
BCH-0001477,backup_hukum_202403_6062.pdf,257518,2024-10-26,ftp-cabang,backup_hukum_202403_6062|257518|periode pending final
BCH-0001288,gambar_teknologi_202409_4153.xlsx,2996797,2024-03-21,ftp-cabang,gambar_teknologi_202409_4153|2996797|arsip pending approved
BCH-0000313,log_sdm_202508_2083.xls,1024439,2024-01-05,nas-lokal-04,log_sdm_202508_2083|1024439|revisi arsip rekap
BCH-0000263,memo_riset_202504_6795.txt,3483941,2024-04-23,nas-lokal-04,memo_riset_202504_6795|3483941|total arsip rekap
BCH-0001641,invoice_manajemen_202401_0743.xls,26953,2024-12-03,nas-lokal-03,invoice_manajemen_202401_0743|26953|arsip periode total
BCH-0001111,log_teknologi_202408_7397.docx,197012,2024-02-14,server-arsip-makassar,log_teknologi_202408_7397|197012|arsip draft periode
BCH-0002528,gambar_sdm_202407_9107.txt,354420646,2024-12-03,server-arsip-medan,gambar_sdm_202407_9107|354420646|arsip data periode
BCH-0001197,invoice_audit_202404_6840.rar,284615,2024-06-20,portal-upload-mobile,invoice_audit_202404_6840|284615|draft rekap arsip
BCH-0001182,memo_hukum_202407_5029.json,4400206,2024-07-04,nas-lokal-04,memo_hukum_202407_5029|4400206|revisi periode final
BCH-0003255,laporan_operasional_202404_4129.jpg,1204866,2024-11-27,ftp-cabang,laporan_operasional_202404_4129|1204866|draft revisi pending
BCH-0002636,dataset_teknologi_202502_7734.jpeg,196530,2024-10-26,server-arsip-semarang,dataset_teknologi_202502_7734|196530|approved final periode
BCH-0000587,invoice_operasional_202403_4442.rar,460994622,2024-05-07,cloud-storage-azure,invoice_operasional_202403_4442|460994622|revisi arsip data
DUP-0000314,backup_audit_202302_8149.docx,35002234,2022-02-06,server-arsip-bandung,backup|audit|35002234|approved rekap arsip dokumen
BCH-0003264,invoice_pemasaran_202501_3986.xml,303094,2024-11-02,cloud-storage-azure,invoice_pemasaran_202501_3986|303094|data approved arsip
BCH-0001047,presentasi_audit_202505_5332.json,309447,2024-07-22,nas-lokal-03,presentasi_audit_202505_5332|309447|periode revisi approved
BCH-0003600,kontrak_hukum_202407_6927.txt,216037,2024-05-31,server-arsip-medan,kontrak_hukum_202407_6927|216037|data approved final
BCH-0002780,surat_riset_202406_8138.csv,2753352,2024-03-17,cloud-storage-azure,surat_riset_202406_8138|2753352|data revisi pending
BCH-0004305,invoice_keuangan_202505_9997.xml,3073460,2024-12-07,cloud-storage-azure,invoice_keuangan_202505_9997|3073460|revisi data draft
BCH-0000886,log_operasional_202405_7179.pdf,223093,2024-03-08,nas-lokal-04,log_operasional_202405_7179|223093|total pending approved
DUP-0000313,presentasi_manajemen_202312_1857.docx,3978032,2024-09-13,backup-eksternal,presentasi|manajemen|3978032|revisi dokumen periode approved
BCH-0003688,surat_sdm_202404_5156.jpeg,62392,2024-04-18,nas-lokal-03,surat_sdm_202404_5156|62392|draft revisi pending
BCH-0001517,gambar_audit_202502_9531.png,556800,2024-10-08,server-arsip-semarang,gambar_audit_202502_9531|556800|revisi periode total
DUP-0000117,kontrak_keuangan_202202_6323.zip,2066087,2023-08-05,cloud-storage-aws,kontrak|keuangan|2066087|final data arsip
BCH-0000085,memo_hukum_202509_2395.zip,48013155,2024-05-22,server-arsip-medan,memo_hukum_202509_2395|48013155|final data rekap
BCH-0002617,invoice_logistik_202405_1082.json,325126,2024-07-23,server-arsip-medan,invoice_logistik_202405_1082|325126|revisi approved periode
BCH-0002997,memo_riset_202511_6514.docx,182183,2024-01-06,server-arsip-semarang,memo_riset_202511_6514|182183|arsip final pending
BCH-0000949,backup_logistik_202504_6865.jpeg,35274207,2024-11-08,nas-lokal-04,backup_logistik_202504_6865|35274207|rekap draft pending
DUP-0000429,invoice_keuangan_202201_0991.zip,147460,2024-03-26,ftp-pusat,invoice|keuangan|147460|data arsip approved dokumen
BCH-0002107,memo_manajemen_202403_9595.xml,3232972,2024-04-01,cloud-storage-azure,memo_manajemen_202403_9595|3232972|rekap total periode
BCH-0003754,log_teknologi_202405_2084.xml,35267156,2024-10-17,cloud-storage-azure,log_teknologi_202405_2084|35267156|draft arsip revisi
BCH-0003640,invoice_hukum_202505_1076.pdf,4809140,2024-05-18,server-arsip-medan,invoice_hukum_202505_1076|4809140|arsip draft revisi
BCH-0004103,log_keuangan_202506_1168.csv,393682,2024-06-12,nas-lokal-03,log_keuangan_202506_1168|393682|approved draft data
BCH-0003828,kontrak_manajemen_202501_2695.csv,2777989,2024-02-05,ftp-cabang,kontrak_manajemen_202501_2695|2777989|rekap draft final
DUP-0000333,backup_riset_202412_0796.xlsx,52328745,2024-06-05,portal-upload-web,backup|riset|52328745|arsip periode dokumen data
BCH-0000899,presentasi_manajemen_202409_2320.pdf,8020726,2024-10-30,portal-upload-mobile,presentasi_manajemen_202409_2320|8020726|revisi total data
BCH-0003613,backup_operasional_202512_1148.xls,16381271,2024-08-19,portal-upload-mobile,backup_operasional_202512_1148|16381271|pending approved draft
BCH-0002738,backup_manajemen_202504_4712.docx,463810,2024-10-31,nas-lokal-03,backup_manajemen_202504_4712|463810|arsip periode approved
BCH-0004015,invoice_teknologi_202504_7136.zip,198492,2024-06-10,server-arsip-makassar,invoice_teknologi_202504_7136|198492|final revisi periode
DUP-0000338,log_hukum_202209_7272.txt,258377,2024-03-11,server-arsip-jakarta,log|hukum|258377|final approved pending
BCH-0000243,dataset_operasional_202408_6237.pdf,103143,2024-07-13,nas-lokal-03,dataset_operasional_202408_6237|103143|draft revisi total
BCH-0004388,presentasi_pemasaran_202406_3297.xls,11087272,2024-07-19,portal-upload-mobile,presentasi_pemasaran_202406_3297|11087272|rekap periode data
BCH-0004428,invoice_sdm_202504_1859.xlsx,399607,2024-12-30,server-arsip-makassar,invoice_sdm_202504_1859|399607|data draft approved
BCH-0003319,surat_keuangan_202503_1541.json,47481942,2024-02-29,cloud-storage-azure,surat_keuangan_202503_1541|47481942|revisi rekap pending
BCH-0003801,invoice_manajemen_202402_7610.png,1444058,2024-03-25,server-arsip-makassar,invoice_manajemen_202402_7610|1444058|periode data total
BCH-0001951,kontrak_manajemen_202407_3617.docx,249154,2024-12-25,server-arsip-semarang,kontrak_manajemen_202407_3617|249154|rekap total arsip
BCH-0003489,surat_manajemen_202411_8570.xls,116689,2024-03-16,cloud-storage-azure,surat_manajemen_202411_8570|116689|approved revisi data
BCH-0001715,backup_operasional_202502_4259.zip,32749,2024-10-30,server-arsip-makassar,backup_operasional_202502_4259|32749|arsip final pending
BCH-0004176,dataset_operasional_202401_0609.docx,256461,2024-12-12,server-arsip-medan,dataset_operasional_202401_0609|256461|data approved periode
BCH-0001667,dataset_audit_202403_7568.xml,293434,2024-04-16,portal-upload-mobile,dataset_audit_202403_7568|293434|total approved periode
BCH-0003763,presentasi_logistik_202507_4274.rar,425608,2024-06-22,server-arsip-makassar,presentasi_logistik_202507_4274|425608|approved data arsip
BCH-0000996,surat_manajemen_202401_6031.pdf,43852207,2024-08-21,server-arsip-makassar,surat_manajemen_202401_6031|43852207|periode total approved
BCH-0004080,presentasi_manajemen_202502_4692.png,344826670,2024-01-30,nas-lokal-03,presentasi_manajemen_202502_4692|344826670|revisi pending data
BCH-0003085,surat_logistik_202506_0308.csv,4337394,2024-02-06,portal-upload-mobile,surat_logistik_202506_0308|4337394|arsip periode draft
DUP-0000249,gambar_hukum_202302_1792.docx,103748,2022-12-04,cloud-storage-gcp,gambar|hukum|103748|file periode pending
