id,nama_file,ukuran_bytes,tanggal_unggah,sumber,konten
DOC-0003124,dataset_teknologi_202408_0131.txt,355842,2022-04-28,server-arsip-jakarta,dataset|teknologi|355842|dokumen rekap total revisi
DOC-0008075,memo_sdm_202208_7409.jpg,378805,2022-07-19,server-arsip-bandung,memo|sdm|378805|draft arsip periode pending
DOC-0005185,log_hukum_202401_2007.xml,369054,2024-07-22,cloud-storage-aws,log|hukum|369054|arsip dokumen final file
DUP-0000743,dataset_audit_202309_4541.xml,3353515,2024-05-21,cloud-storage-gcp,dataset|audit|3353515|total approved periode
DOC-0003720,surat_logistik_202212_8608.pdf,262958,2022-07-10,server-arsip-surabaya,surat|logistik|262958|approved total revisi draft pending
DOC-0000997,invoice_teknologi_202408_2518.png,294905,2023-05-28,server-arsip-jakarta,invoice|teknologi|294905|rekap periode final revisi data
DOC-0002911,laporan_keuangan_202303_6466.jpg,38658714,2023-05-31,server-arsip-bandung,laporan|keuangan|38658714|file final total pending data
DOC-0001978,invoice_audit_202309_0522.txt,18438373,2023-08-11,nas-lokal-01,invoice|audit|18438373|approved pending periode file total
DOC-0006853,backup_audit_202202_9393.docx,22300952,2022-06-06,nas-lokal-02,backup|audit|22300952|arsip revisi periode final rekap
DOC-0006198,gambar_sdm_202202_9505.docx,279412,2022-01-21,nas-lokal-02,gambar|sdm|279412|pending dokumen data
DOC-0002320,gambar_operasional_202207_6854.png,499637697,2022-05-18,ftp-pusat,gambar|operasional|499637697|file rekap pending data
DOC-0007385,memo_riset_202411_4799.txt,3468882,2024-11-28,cloud-storage-aws,memo|riset|3468882|rekap final file
DOC-0002629,backup_sdm_202301_4248.txt,299482,2023-01-09,nas-lokal-01,backup|sdm|299482|file draft arsip
DOC-0001494,kontrak_manajemen_202408_0588.txt,492968,2024-09-30,backup-eksternal,kontrak|manajemen|492968|revisi data rekap
DOC-0008217,invoice_operasional_202303_8599.docx,4660536,2023-03-03,portal-upload-web,invoice|operasional|4660536|pending file total
DOC-0000592,gambar_teknologi_202406_8731.pdf,37162700,2024-10-14,portal-upload-web,gambar|teknologi|37162700|revisi periode rekap draft
DOC-0005738,gambar_teknologi_202201_1143.txt,25575809,2022-02-01,server-arsip-bandung,gambar|teknologi|25575809|revisi approved arsip rekap final
DOC-0006152,surat_pemasaran_202412_2836.jpg,4454612,2022-03-16,server-arsip-jakarta,surat|pemasaran|4454612|data pending dokumen arsip draft
DOC-0008724,dataset_audit_202201_4962.zip,443090740,2022-11-15,backup-eksternal,dataset|audit|443090740|draft final rekap
DOC-0005720,laporan_pemasaran_202409_8083.xlsx,4284480,2024-02-12,backup-eksternal,laporan|pemasaran|4284480|rekap periode pending revisi
DOC-0006804,kontrak_logistik_202404_3508.csv,48371273,2022-02-21,cloud-storage-gcp,kontrak|logistik|48371273|periode draft total data rekap
