id,nama_file,ukuran_bytes,tanggal_unggah,sumber,konten
DOC-0026221,surat_operasional_202405_0716.zip,37324768,2024-01-18,server-arsip-surabaya,surat|operasional|37324768|file rekap draft total
DOC-0037970,memo_manajemen_202201_5686.txt,20252006,2023-04-12,server-arsip-jakarta,memo|manajemen|20252006|final file periode total approved
DUP-0004767,laporan_keuangan_202401_1417.txt,2275974,2022-11-28,server-arsip-surabaya,laporan|keuangan|2275974|arsip draft revisi dokumen
DOC-0012740,backup_pemasaran_202312_4862.jpg,4544796,2022-05-28,server-arsip-jakarta,backup|pemasaran|4544796|approved file rekap
DOC-0041309,dataset_operasional_202303_0401.jpg,2622606,2023-06-03,cloud-storage-aws,dataset|operasional|2622606|approved revisi dokumen
DOC-0032825,kontrak_logistik_202405_9397.txt,100193,2022-07-11,nas-lokal-02,kontrak|logistik|100193|approved arsip dokumen pending
DOC-0044930,laporan_operasional_202309_4686.jpg,99867,2022-11-16,nas-lokal-02,laporan|operasional|99867|periode final approved pending
DOC-0017038,kontrak_logistik_202304_0883.docx,4380766,2022-05-20,server-arsip-bandung,kontrak|logistik|4380766|arsip pending final periode total
DOC-0030837,kontrak_keuangan_202412_1896.txt,276096,2024-05-07,backup-eksternal,kontrak|keuangan|276096|approved final pending arsip
DOC-0031738,invoice_audit_202312_0491.txt,1207165,2024-06-13,server-arsip-surabaya,invoice|audit|1207165|pending final total file
DUP-0002916,laporan_hukum_202407_8328.txt,16638525,2024-11-28,ftp-pusat,laporan|hukum|16638525|approved final file rekap
DOC-0038988,gambar_keuangan_202401_7710.jpg,4654349,2022-09-28,cloud-storage-gcp,gambar|keuangan|4654349|pending revisi rekap
DOC-0000811,surat_keuangan_202303_5782.xlsx,2089063,2024-06-09,server-arsip-jakarta,surat|keuangan|2089063|total approved draft arsip dokumen
DOC-0004767,kontrak_pemasaran_202402_7619.docx,151557,2024-07-13,server-arsip-bandung,kontrak|pemasaran|151557|revisi data pending
DOC-0029766,kontrak_keuangan_202402_6838.png,4182324,2023-03-06,server-arsip-bandung,kontrak|keuangan|4182324|file periode draft dokumen approved
DOC-0011971,dataset_logistik_202406_7474.png,178380,2022-11-14,ftp-pusat,dataset|logistik|178380|dokumen data rekap
DOC-0013802,backup_riset_202301_3355.json,23108651,2022-05-20,nas-lokal-01,backup|riset|23108651|dokumen arsip approved final
DUP-0004585,invoice_operasional_202401_4344.csv,240108,2024-12-23,cloud-storage-gcp,invoice|operasional|240108|revisi final draft arsip dokumen
DOC-0019891,gambar_hukum_202205_5740.json,21496132,2023-05-18,cloud-storage-aws,gambar|hukum|21496132|draft total data periode
DOC-0027044,dataset_riset_202302_8565.csv,1797300,2024-06-11,nas-lokal-01,dataset|riset|1797300|final revisi draft dokumen
DOC-0022534,gambar_pemasaran_202304_9262.docx,29903088,2022-03-09,portal-upload-web,gambar|pemasaran|29903088|arsip data approved
DOC-0039146,surat_logistik_202406_7933.csv,191136,2022-01-11,nas-lokal-02,surat|logistik|191136|revisi data rekap dokumen
DOC-0031226,surat_sdm_202404_9436.docx,25000,2023-09-25,nas-lokal-01,surat|sdm|25000|final file total approved periode
DOC-0000278,backup_hukum_202405_8861.csv,456805,2024-11-21,nas-lokal-02,backup|hukum|456805|pending draft rekap periode
DOC-0036451,gambar_sdm_202201_2993.png,4037988,2024-07-30,cloud-storage-gcp,gambar|sdm|4037988|periode dokumen data
DOC-0015712,log_manajemen_202404_7141.png,3884853,2022-08-31,server-arsip-bandung,log|manajemen|3884853|arsip draft dokumen approved total
DUP-0002199,invoice_audit_202405_7071.csv,353576597,2023-03-07,server-arsip-jakarta,invoice|audit|353576597|approved revisi periode total
DUP-0000275,invoice_operasional_202409_9822.txt,241009,2024-01-18,ftp-pusat,invoice|operasional|241009|pending arsip draft
DOC-0023992,dataset_audit_202205_8801.pdf,191929,2022-11-11,nas-lokal-01,dataset|audit|191929|file total revisi approved data
DUP-0004421,gambar_sdm_202303_4525.xml,2008950,2022-05-28,backup-eksternal,gambar|sdm|2008950|file final dokumen revisi pending
